texts,Prediction
แต่ถูกใจผมอยู่นะ แต่อยากได้ refresh rate >60 แถมแบตอึตหรือไม่ก็ติดแฟงโซล่าเซลที่ผาหลังไปเลย จะโดนใจมาก,pos
รูปทรงที่ถวิลหา แต่บางไปหน่อย ผมเป็นคนมือหนักซะด้วย,neu
ถ้า Sony มาด้วยละก็นะ รองรับทั้ง Chromecast Airplay ตัวเดียวจบครบเครื่อง,neu
win win ทั้งคู่ ดีเลย,pos
แสดงว่าหาทางขยายให้ซื้อ service จาก itune มาโปะยอดขายมือถือสินะ,neu
มือถือขายไม่ดี หาทางเพิ่มรายได้แปป,neu
อนาคตจะกลายพันธุ์เป็น Apple is Service มั้ยนะ,neu
ดูหนังจะกระตุกไหม เมื่อมี OS เวอร์ชั่นใหม่ ?,neu
มาราคานี้ ดูน่าซื้อขึ้นมาเลย,pos
ตัวนี้ๆๆๆๆๆ ราคานี้ค่อยยังชั่ว,neu
บอร์ด​จะพังแบบรุ่น​พี่​ ๆ​ ไหมเนี่ย,neu
อูยยยยยยยย เเถม Anthem ด้วยยยยยยยยยยยย,neu
ราคารับได้ แต่เปิด ray แล้วจะใช้งานได้จริงหรือเปล่าค่อยว่ากัน,neu
รุ่นใหญ่เปิดแล้วไม่ถึง 60 รุ่นนี้คงเหลือไม่ถึง 30,neu
ราคาประมาณนี้จะได้ฉุดราคาพวก 10x0 ในตลาดได้หน่อย,neu
แถมเกม Anthem !! เกมราคาเกือบ 2 พัน ต้องจัดๆๆๆๆ (หรือรอพวกขายคีย์ดี),pos
หวังว่าจะได้การ์ดจอมาใช้รันงานถูกๆ หน่อย,neu
เปิด Ray Tracing ได้ แต่ไม่รับประกัน frame rate ใช่ไหม เล่นแบบกระตุกๆ,neg
นึกถึงปุ่ม Turbo สมัย FC เลย,pos
"ฝ่ายหนึ่งต้องการปกป้องสิทธิ์ในตัวสินค้า ผลงาน และลิขสิทธิ์ของตนเอง อีกฝ่ายก็ต้องการความสะดวกสบายและเล่นเกมสนุกๆ เชื่อในอิสระและสิทธิ์ในการดัดแปลงแก้ไขใช้งานด้วยตัวเอง ผมว่าไม่มีคำว่าจบครับ ถ้าคนยังต้องการซะอย่าง กฎแบบนี้ออกมา พวก Trainer Mod, เกมดัดแปลง, Model Mod หรือแม้แต่ Fan-made Mission ก็เข้าข่ายผิดกฎหมายเลยนะสิ โดนกันถ้วนหน้า",neu
เหมือนซื้อหมูมา คนขายบอกให้เอาไปทอดไข่เจียวหมูสับ อยากใส่ผักเพิ่มไปก็ไม่ได้ เดี๋ยวจะโดนจับสรุปเราเป็นเจ้าของหมูไหม ทั้งๆที่เราก็ชื้อหมูมา ??,neu
ไม่เหมือนกันครับ เกมที่เราซื้อมาคือซื้อสิทธิ์ในการเล่น เข้าใช้บริการครับ ถ้าอยากดัดแปลง แก้ไข ต่อเติม ต้องซื้อลิขสิทธิ์เกมครับ ไม่งั้นก็ take over ทั้งบริษัทเกม,neu
เทียบไม่ได้ครับ สิทธิ์คนละแบบกัน เราไม่ใช่เจ้าของเกม เราแค่มีสิทธิ์ที่จะเล่น,neu
คุณซื้อรถมาแล้วเอาไปดัดแปลงผิดกฎหมาย ถ้าตำรวจไม่เห็นคุณก็ยังไม่โดนจับครับ แต่ถ้าคุณเอาไปทะลึ่งวิ่งบนถนนจะโดนจับก็ไม่แปลก?,neg
จริงๆน่าจะออกกฏแบบนี้มาเพื่อจะจัดการกับพวกตัวโกงเกมใน multiplayer มากกว่า แล้วค่อยมาฟ้องรายเคสเอา แต่ถ้าเล่นหว่านแหเหมาทั้งหมดแบบนี้ ก็น่าจะไม่ค่อยมีใครอยาก mod กันหล่ะนะ,neg
